"rate","prov","temp","stage","count"
0.00584375136706779,"in",5,"L2",1
0.00637350012611669,"in",5,"L2",1
0.00662590549468246,"in",5,"L2",1
0.00762503487667693,"in",5,"L2",1
0.00787302911117838,"in",5,"L2",1
0.00798741046044507,"in",5,"L2",1
0.00876921339688626,"in",5,"L2",1
0.00909700540117543,"in",5,"L2",1
0.00923765858410519,"in",5,"L2",1
0.00968457939705741,"in",5,"L2",1
0.00979846834222391,"in",5,"L2",1
0.00998936767240639,"in",5,"L2",1
0.010627896302622,"in",5,"L2",1
0.0106708264572644,"in",5,"L2",1
0.0108411700735407,"in",5,"L2",1
0.0112207662708359,"in",5,"L2",1
0.0113101216106385,"in",5,"L2",1
0.0116886193926129,"in",5,"L2",1
0.0117480048636903,"in",5,"L2",1
0.0117915803803351,"in",5,"L2",1
0.0118994458992277,"in",5,"L2",1
0.0120978789489161,"in",5,"L2",1
0.0124284470016259,"in",5,"L2",1
0.0124652463728964,"in",5,"L2",1
0.0126761206434484,"in",5,"L2",1
0.0126797238840407,"in",5,"L2",1
0.0127997890721988,"in",5,"L2",1
0.0129188527138494,"in",5,"L2",1
0.0131096367176001,"in",5,"L2",1
0.0133847114824946,"in",5,"L2",1
0.0133992363918657,"in",5,"L2",1
0.0135886287840865,"in",5,"L2",1
0.0136491877280188,"in",5,"L2",1
0.0136737592641916,"in",5,"L2",1
0.0138378673608757,"in",5,"L2",1
0.0139347325992674,"in",5,"L2",1
0.014184762486116,"in",5,"L2",1
0.0142878521080444,"in",5,"L2",1
0.0144262571782769,"in",5,"L2",1
0.0146607239365229,"in",5,"L2",1
0.0147442676223999,"in",5,"L2",1
0.0148716159939723,"in",5,"L2",1
0.0148894034212628,"in",5,"L2",1
0.0151133544334442,"in",5,"L2",1
0.0152176274684679,"in",5,"L2",1
0.0153335289828573,"in",5,"L2",1
0.0155510127385939,"in",5,"L2",1
0.0157229792226641,"in",5,"L2",1
0.015766675129536,"in",5,"L2",1
0.0159813683741814,"in",5,"L2",1
0.0161958603269221,"in",5,"L2",1
0.0164110176932901,"in",5,"L2",1
0.0166277665956334,"in",5,"L2",1
0.0168469329098191,"in",5,"L2",1
0.0186706476456995,"in",5,"L2",1
0.00452275952942867,"nb",5,"L2",1
0.00527067436542488,"nb",5,"L2",1
0.00622142313161354,"nb",5,"L2",1
